
boss,level,ap,strategy,runs,win_rate,avg_rounds,avg_ap_left,avg_hp_pct,avg_flasks_used
snake,8,28,tac-end,400,0.953,45.6,23.2,42.4,1.14
snake,8,28,tac-int,400,0.398,45.5,23.3,5.0,1.77
snake,8,28,tac-cha,400,0.693,39.3,24.6,19.7,1.44
snake,8,28,tac-wil,400,0.797,46.3,28.2,24.1,1.44
snake,8,28,tac-agi,400,0.765,37.4,25.0,23.3,1.40
snake,15,28,tac-end,400,0.988,59.0,19.9,52.4,0.93
snake,15,28,tac-int,400,0.873,58.9,19.7,31.7,1.36
snake,15,28,tac-cha,400,0.970,47.2,22.5,47.5,1.05
snake,15,28,tac-wil,400,0.938,59.4,26.7,42.3,1.18
snake,15,28,tac-agi,400,0.980,46.9,22.6,47.7,1.00
demon,8,28,tac-end,400,0.762,56.2,20.5,22.7,1.50
demon,8,28,tac-int,400,0.045,50.1,22.2,-3.6,1.95
demon,8,28,tac-cha,400,0.260,45.4,23.4,1.7,1.81
demon,8,28,tac-wil,400,0.390,54.7,27.3,4.0,1.80
demon,8,28,tac-agi,400,0.343,43.7,23.9,4.6,1.78
demon,15,28,tac-end,400,0.973,71.7,17.0,48.7,1.17
demon,15,28,tac-int,400,0.520,70.0,17.6,11.4,1.71
demon,15,28,tac-cha,400,0.885,57.5,20.2,31.6,1.35
demon,15,28,tac-wil,400,0.863,71.7,25.2,31.5,1.43
demon,15,28,tac-agi,400,0.860,57.2,20.1,30.6,1.32
chimera,8,28,tac-end,400,0.615,80.4,14.4,17.5,1.54
chimera,8,28,tac-int,400,0.003,52.6,20.3,-5.1,1.76
chimera,8,28,tac-cha,400,0.050,51.1,21.3,-4.0,1.77
chimera,8,28,tac-wil,400,0.152,72.2,25.0,-2.5,1.83
chimera,8,28,tac-agi,400,0.060,49.2,22.0,-3.1,1.74
chimera,15,28,tac-end,400,0.955,105.1,8.8,52.5,0.55
chimera,15,28,tac-int,400,0.318,102.5,9.5,3.8,1.73
chimera,15,28,tac-cha,400,0.715,84.8,13.8,22.9,1.46
chimera,15,28,tac-wil,400,0.890,107.9,20.9,39.1,1.20
chimera,15,28,tac-agi,400,0.725,81.7,15.0,24.5,1.49
